Year,Province,District,Latitude,Longitude,Elevation,Month,Cases,Temp_avg,Precipitation_avg,Humidity_avg
2019,Western,Colombo,6.924429,79.90725,4,1,1225,26.914285714285715,0.7714285714285714,72.60714285714286
2019,Western,Gampaha,7.0650263,79.96622,19,1,724,27.417857142857144,0.7285714285714286,69.89285714285714
2019,Western,Kalutara,6.572935,80.02519,5,1,372,26.112499999999997,1.3964285714285718,80.46428571428571
2019,Central,Kandy,7.275923,80.62659,499,1,288,22.06785714285714,1.8535714285714284,83.42857142857143
2019,Central,Matale,7.4868193,80.52632,362,1,62,25.59285714285714,0.8500000000000002,74.28571428571429
2019,Central,Nuwara Eliya,6.9947276,80.73418,1865,1,26,14.74107142857143,2.717857142857143,86.57142857142857
2019,Southern,Galle,6.0808434,80.23373,8,1,132,25.432142857142853,2.953571428571427,85.28571428571429
2019,Southern,Hambantota,5.940246,80.55,6,1,140,25.760714285714283,0.8285714285714285,83.35714285714286
2019,Southern,Matara,6.1511426,81.127815,8,1,219,27.28750000000001,0.7107142857142856,71.0
2019,Northern,Jaffna,9.66608,80.034874,8,1,900,25.10535714285714,0.17857142857142855,74.89285714285714
2019,Northern,Kilinochchi,9.384886,80.38228,19,1,34,25.130357142857143,0.31428571428571433,74.57142857142857
2019,Northern,Mannar,8.963093,79.96543,5,1,27,25.635714285714286,0.5071428571428572,74.35714285714286
2019,Northern,Vavuniya,8.752197,80.53448,104,1,41,24.798214285714288,0.40714285714285714,78.42857142857143
2019,Northern,Mulativu,9.244288,80.789246,5,1,47,25.732142857142858,0.675,74.46428571428571
2019,Eastern,Batticaloa,7.6977153,81.65106,10,1,191,25.5625,3.435714285714286,80.89285714285714
2019,Eastern,Ampara,7.275923,81.693474,38,1,132,25.285714285714292,3.8785714285714277,82.17857142857143
2019,Eastern,Trincomalee,8.611599,81.170395,8,1,157,25.698214285714286,0.9392857142857143,75.0
2019,North Western,Kurunegala,7.4868193,80.37352,129,1,215,25.09285714285714,0.8500000000000002,74.21428571428571
2019,North Western,Puttalam,8.04921,79.84615,4,1,79,25.701785714285712,0.23928571428571432,76.21428571428571
2019,North central,Anuradhapura,8.330404,80.42882,95,1,64,24.989285714285714,0.36071428571428565,79.75
2019,North central,Polonnaruwa,7.908612,81.01536,56,1,39,25.24285714285714,1.7071428571428573,81.17857142857143
2019,Uva,Badulla,6.9947276,81.03797,676,1,79,19.741071428571423,6.603571428571429,92.78571428571429
